session_id,customer_id,session_start_ts,session_duration_sec,pages_viewed,added_to_cart_flag,checkout_started_flag,device_type
218,12825,2025-07-29T12:52:48.896Z,767,11,0,0,Web
230,35274,2025-07-23T12:52:48.896Z,61,3,1,0,iOS
235,30819,2025-10-16T12:52:48.896Z,638,1,1,0,iOS
270,46116,2025-06-12T12:52:48.896Z,999,11,1,1,Android
277,37370,2025-10-19T12:52:48.896Z,673,7,0,1,iOS
279,13728,2025-12-16T12:52:48.896Z,1191,4,0,0,Android
283,38049,2026-01-01T12:52:48.896Z,694,1,1,0,iOS
288,31874,2026-02-04T12:52:48.896Z,364,8,0,0,Web
295,23480,2025-06-11T12:52:48.896Z,283,9,1,0,iOS
297,43533,2025-03-13T12:52:48.896Z,552,8,1,0,Web
304,14145,2025-08-14T12:52:48.896Z,909,10,0,1,Web
305,7404,2025-04-04T12:52:48.896Z,506,1,0,0,Web
316,4146,2025-09-28T12:52:48.896Z,770,4,0,0,iOS
317,38868,2025-10-13T12:52:48.896Z,354,11,0,0,iOS
324,47243,2025-03-28T12:52:48.896Z,1003,6,0,0,Android
330,30750,2025-07-23T12:52:48.896Z,694,7,0,0,Web
331,629,2025-07-10T12:52:48.896Z,1058,9,0,0,Web
338,31419,2025-05-20T12:52:48.896Z,697,5,0,0,Android
355,20252,2025-05-19T12:52:48.896Z,1076,1,0,0,iOS
361,21335,2025-06-09T12:52:48.896Z,967,10,0,0,Web
367,34371,2025-08-20T12:52:48.896Z,190,3,0,1,Web
369,2832,2025-09-16T12:52:48.896Z,898,4,0,1,Web
376,5631,2025-07-14T12:52:48.896Z,172,10,1,0,Web
378,34529,2025-03-08T12:52:48.896Z,247,9,0,0,iOS
381,20148,2025-04-14T12:52:48.896Z,542,5,0,0,iOS
387,7827,2025-12-22T12:52:48.896Z,624,2,1,0,iOS
388,28784,2025-09-24T12:52:48.896Z,994,3,0,0,Android
393,31427,2025-05-07T12:52:48.896Z,90,5,1,0,iOS
397,15185,2025-08-31T12:52:48.896Z,957,10,0,1,Android
400,45963,2025-05-27T12:52:48.896Z,144,11,0,0,Android
402,364,2025-12-20T12:52:48.896Z,1044,3,0,0,iOS
406,32887,2025-05-03T12:52:48.896Z,502,5,0,1,iOS
411,17462,2025-05-19T12:52:48.896Z,577,6,0,0,Web
424,8583,2025-11-13T12:52:48.896Z,742,11,0,0,Android
427,16017,2025-10-22T12:52:48.896Z,552,4,0,0,Web
431,17061,2025-10-16T12:52:48.896Z,453,6,0,1,Web
432,6316,2026-01-10T12:52:48.896Z,673,4,0,0,Android
452,31707,2025-06-19T12:52:48.896Z,692,3,0,0,Android
465,39060,2025-08-13T12:52:48.896Z,31,11,0,0,Android
470,23066,2025-10-10T12:52:48.896Z,505,7,0,0,iOS
471,25165,2026-01-29T12:52:48.896Z,201,8,0,0,Android
472,47739,2025-10-29T12:52:48.896Z,1119,8,0,0,Web
488,1387,2025-03-22T12:52:48.896Z,267,10,0,0,iOS
491,26712,2025-10-22T12:52:48.896Z,369,11,0,0,Android
508,8175,2025-10-16T12:52:48.896Z,744,1,1,0,Android
528,6715,2025-06-15T12:52:48.896Z,452,4,0,1,Android
533,31382,2025-05-08T12:52:48.896Z,824,8,0,0,Web
543,29635,2025-07-22T12:52:48.896Z,988,10,0,0,Web
545,38570,2025-09-17T12:52:48.896Z,30,4,0,0,Web
551,634,2025-12-17T12:52:48.896Z,883,3,0,0,Web
552,4709,2025-09-07T12:52:48.896Z,902,10,1,0,iOS
556,24367,2025-11-11T12:52:48.896Z,352,10,0,0,Android
564,11311,2025-10-06T12:52:48.896Z,940,3,1,0,Web
578,17329,2026-02-26T12:52:48.896Z,897,6,1,1,Web
581,20148,2025-06-07T12:52:48.896Z,1075,3,0,1,Android
583,15869,2025-09-08T12:52:48.896Z,570,10,1,1,Android
594,11949,2025-10-14T12:52:48.896Z,597,2,0,0,iOS
604,45223,2026-02-28T12:52:48.896Z,1064,2,1,1,iOS
608,26914,2026-01-26T12:52:48.896Z,661,10,0,0,iOS
615,41446,2025-10-31T12:52:48.896Z,1138,11,0,0,iOS
620,9253,2026-02-07T12:52:48.896Z,29,5,0,0,Web
625,40826,2026-01-03T12:52:48.896Z,945,5,0,0,Web
636,28784,2025-12-29T12:52:48.896Z,466,11,0,0,Android
647,38975,2026-01-22T12:52:48.896Z,591,11,1,0,Web
648,47852,2025-12-06T12:52:48.896Z,397,7,0,1,Web
649,7701,2025-04-01T12:52:48.896Z,784,8,0,0,Android
652,27057,2026-02-06T12:52:48.896Z,1099,7,1,0,iOS
659,25005,2025-08-28T12:52:48.896Z,123,2,0,0,Web
661,11730,2025-03-26T12:52:48.896Z,964,4,0,0,Android
665,48170,2025-07-20T12:52:48.896Z,124,4,0,0,Web
671,196,2025-05-19T12:52:48.896Z,116,3,0,0,Web
691,38981,2025-12-13T12:52:48.896Z,1123,10,0,1,Web
712,21980,2025-12-18T12:52:48.896Z,181,11,0,0,Android
713,5060,2025-09-04T12:52:48.896Z,894,7,1,0,iOS
717,8483,2026-01-20T12:52:48.896Z,51,6,0,0,Android
722,569,2026-02-14T12:52:48.896Z,1108,1,0,0,Android
723,22815,2025-09-05T12:52:48.896Z,206,5,0,0,Web
727,21981,2025-09-22T12:52:48.896Z,1024,6,0,0,Web
730,1787,2025-07-27T12:52:48.896Z,163,5,0,0,Web
734,8368,2025-03-04T12:52:48.896Z,332,3,0,0,iOS
747,48202,2025-12-09T12:52:48.896Z,730,10,1,0,iOS
754,24979,2025-05-07T12:52:48.896Z,1135,2,1,0,Android
757,28695,2026-02-19T12:52:48.896Z,171,1,1,0,Web
760,37192,2025-04-03T12:52:48.896Z,340,6,1,0,iOS
764,26024,2025-05-17T12:52:48.896Z,393,3,0,0,Android
766,27044,2025-11-02T12:52:48.896Z,437,1,1,0,iOS
779,27506,2025-06-07T12:52:48.896Z,714,11,1,0,Web
787,13093,2025-08-27T12:52:48.896Z,383,8,1,1,iOS
803,47432,2026-01-29T12:52:48.896Z,349,2,0,0,Android
816,340,2025-04-24T12:52:48.896Z,582,7,0,0,Android
836,40913,2025-05-01T12:52:48.896Z,146,10,0,0,iOS
837,12128,2026-01-13T12:52:48.896Z,310,8,0,0,iOS
846,21030,2025-04-20T12:52:48.896Z,233,8,1,0,Android
847,14700,2025-12-17T12:52:48.896Z,710,4,0,0,Android
851,24956,2025-05-31T12:52:48.896Z,173,7,1,1,iOS
852,42693,2025-05-22T12:52:48.896Z,1118,6,1,0,iOS
853,9540,2025-11-06T12:52:48.896Z,444,4,0,0,iOS
854,19525,2025-07-28T12:52:48.896Z,720,10,0,0,iOS
857,31026,2025-03-19T12:52:48.896Z,1072,11,0,0,iOS
872,22617,2025-08-09T12:52:48.896Z,394,11,0,0,Web
874,44464,2025-06-13T12:52:48.896Z,1020,10,0,0,Web
876,17950,2025-09-03T12:52:48.896Z,43,10,0,0,iOS
882,13263,2025-11-08T12:52:48.896Z,632,3,1,1,Web
891,33653,2025-12-12T12:52:48.896Z,495,2,1,0,Android
893,42953,2025-10-20T12:52:48.896Z,1077,7,0,0,iOS
916,4309,2025-12-08T12:52:48.896Z,1158,4,1,0,Web
919,26615,2025-06-03T12:52:48.896Z,975,1,0,0,Web
923,653,2025-07-09T12:52:48.896Z,959,6,0,0,Android
927,44815,2025-10-19T12:52:48.896Z,942,8,0,0,iOS
931,32335,2026-01-17T12:52:48.896Z,283,10,0,0,Web
938,12672,2025-12-13T12:52:48.896Z,484,8,1,0,Android
942,46808,2026-02-15T12:52:48.896Z,725,6,1,1,Web
950,39662,2025-06-03T12:52:48.896Z,609,3,0,0,Android
953,7569,2025-11-05T12:52:48.896Z,267,2,0,0,iOS
959,37120,2025-11-05T12:52:48.896Z,230,3,1,1,Android
971,38142,2025-11-13T12:52:48.896Z,417,9,0,0,Web
982,48504,2025-05-10T12:52:48.896Z,1067,2,0,0,iOS
984,34590,2026-01-16T12:52:48.896Z,1092,6,0,0,iOS
987,48791,2026-01-10T12:52:48.896Z,620,8,0,0,iOS
995,46778,2025-10-18T12:52:48.896Z,953,3,1,0,iOS
1002,21307,2025-06-23T12:52:48.896Z,679,2,0,1,Web
1027,42854,2025-07-25T12:52:48.896Z,972,9,0,0,iOS
1028,11279,2025-04-11T12:52:48.896Z,909,9,0,1,Android
1040,30403,2025-09-22T12:52:48.896Z,1074,1,1,0,iOS
1045,23814,2025-04-02T12:52:48.896Z,1103,9,0,0,Web
1046,41328,2025-06-13T12:52:48.896Z,1044,8,0,0,Web
1051,19073,2025-03-19T12:52:48.896Z,389,1,0,0,Web
1061,33547,2025-03-26T12:52:48.896Z,1049,10,0,0,Web
1062,40218,2025-12-04T12:52:48.896Z,414,6,1,0,iOS
1063,13689,2026-02-07T12:52:48.896Z,275,11,1,0,Android
1065,863,2025-06-22T12:52:48.896Z,974,7,0,0,Web
1071,28887,2025-06-30T12:52:48.896Z,502,5,1,1,Web
1082,4001,2025-11-10T12:52:48.896Z,901,11,0,1,iOS
1086,23179,2025-12-16T12:52:48.896Z,977,6,1,0,Android
1094,21192,2025-11-16T12:52:48.896Z,1071,3,0,0,Android
1097,35064,2026-02-08T12:52:48.896Z,973,10,0,0,Android
1102,47737,2025-06-02T12:52:48.896Z,524,2,0,0,iOS
1105,20040,2025-11-30T12:52:48.896Z,530,5,0,1,iOS
1108,48799,2025-06-18T12:52:48.896Z,470,5,0,0,Web
1112,46007,2025-09-01T12:52:48.896Z,582,5,0,0,Android
1132,25761,2026-02-25T12:52:48.896Z,145,7,1,0,Android
1138,40447,2025-10-11T12:52:48.896Z,1001,4,0,0,iOS
1140,15249,2025-04-04T12:52:48.896Z,1178,10,0,0,Web
1147,22314,2026-02-21T12:52:48.896Z,86,10,0,0,iOS
1153,44200,2025-04-26T12:52:48.896Z,195,2,0,0,Web
1164,40174,2025-06-09T12:52:48.896Z,466,7,0,1,Android
1165,34464,2026-02-08T12:52:48.896Z,203,1,1,0,Android
1176,37614,2025-11-09T12:52:48.896Z,1162,6,0,0,Web
1184,38244,2025-04-27T12:52:48.896Z,804,5,1,0,Android
1190,32354,2025-07-14T12:52:48.896Z,923,5,1,0,Web
1198,17157,2025-12-31T12:52:48.896Z,330,9,0,0,Web
1199,23723,2025-10-28T12:52:48.896Z,499,5,1,0,Android
1203,20611,2025-09-22T12:52:48.896Z,693,4,0,1,iOS
1218,37242,2025-11-16T12:52:48.896Z,172,9,0,0,Web
1231,34870,2025-12-03T12:52:48.896Z,784,1,0,0,Android
1236,23196,2025-06-23T12:52:48.896Z,208,3,1,0,iOS
1239,10170,2025-08-30T12:52:48.896Z,523,5,0,0,iOS
1249,20041,2025-05-09T12:52:48.896Z,114,5,0,1,Web
1252,21337,2025-07-10T12:52:48.896Z,209,10,1,0,iOS
1262,2634,2025-08-14T12:52:48.896Z,114,6,0,0,iOS
1283,35402,2025-07-03T12:52:48.896Z,424,9,0,0,Android
1293,34285,2025-10-11T12:52:48.896Z,246,7,0,0,iOS
1296,36546,2025-07-12T12:52:48.896Z,784,11,1,0,Android
1297,39750,2025-07-21T12:52:48.896Z,954,4,0,0,Android
1300,38364,2025-06-02T12:52:48.896Z,973,5,0,0,Android
1302,13668,2025-03-14T12:52:48.896Z,576,7,0,0,iOS
1316,532,2026-02-03T12:52:48.896Z,26,9,0,0,Web
1328,28520,2025-07-15T12:52:48.896Z,1176,9,1,0,iOS
1330,20283,2025-12-02T12:52:48.896Z,845,1,0,0,iOS
1334,19461,2026-02-03T12:52:48.896Z,974,7,0,0,Web
1344,896,2025-03-10T12:52:48.896Z,1020,7,1,0,Web
1351,14114,2025-08-11T12:52:48.896Z,777,8,1,0,Web
1352,1190,2025-11-21T12:52:48.896Z,502,9,1,0,Web
1362,24412,2025-07-10T12:52:48.896Z,918,6,0,0,Web
1364,1801,2025-11-03T12:52:48.896Z,943,9,1,0,Web
1366,31667,2025-07-14T12:52:48.896Z,589,3,0,0,Web
1377,38449,2025-04-09T12:52:48.896Z,997,1,0,0,Android
1378,25345,2025-08-20T12:52:48.896Z,824,6,0,0,Android
1380,28695,2025-05-14T12:52:48.896Z,1125,9,1,0,Android
1382,18506,2025-03-06T12:52:48.896Z,461,6,1,0,iOS
1384,11096,2025-09-09T12:52:48.896Z,913,8,0,1,Web
1393,37731,2025-11-20T12:52:48.896Z,138,7,0,0,Web
1398,26971,2025-10-04T12:52:48.896Z,304,2,1,1,Android
1402,28042,2025-10-30T12:52:48.896Z,983,5,1,0,Android
1404,15403,2025-03-09T12:52:48.896Z,383,6,0,0,Web
1410,26250,2025-09-26T12:52:48.896Z,591,4,0,0,iOS
1420,11099,2025-07-02T12:52:48.896Z,1145,11,0,0,iOS
1422,15598,2025-06-20T12:52:48.896Z,439,2,0,0,Web
1430,46731,2025-03-09T12:52:48.896Z,734,9,0,0,Web
1441,13358,2025-09-21T12:52:48.896Z,199,2,0,0,iOS
1444,14991,2025-10-25T12:52:48.896Z,638,4,0,0,iOS
1464,2634,2025-07-08T12:52:48.896Z,60,6,1,0,iOS
1478,24012,2025-05-19T12:52:48.896Z,204,8,0,0,iOS
1485,46061,2025-03-03T12:52:48.896Z,1128,9,1,0,Android
1490,45252,2026-02-01T12:52:48.896Z,1087,5,0,0,iOS
1491,35962,2025-09-02T12:52:48.896Z,1162,9,0,0,iOS
1503,24405,2025-08-27T12:52:48.896Z,248,1,1,0,iOS
1507,40558,2025-03-27T12:52:48.896Z,1077,7,0,0,Android
1517,17336,2025-04-25T12:52:48.896Z,366,8,0,0,Android
1518,14151,2025-10-24T12:52:48.896Z,441,5,0,0,Web
1519,48368,2025-09-27T12:52:48.896Z,1169,11,0,0,iOS
1520,46128,2025-04-09T12:52:48.896Z,827,9,0,0,iOS
1521,33744,2025-10-02T12:52:48.896Z,311,6,0,0,Android
1528,48791,2025-09-29T12:52:48.896Z,96,7,1,0,Web
1529,3012,2025-10-15T12:52:48.896Z,281,11,0,0,iOS
1545,14153,2025-08-04T12:52:48.896Z,1180,5,0,0,Web
1547,37708,2025-10-26T12:52:48.896Z,20,6,1,0,Web
1549,11317,2025-12-08T12:52:48.896Z,1039,7,1,0,Web
1553,39217,2025-09-22T12:52:48.896Z,1094,3,0,0,iOS
1560,18430,2025-11-30T12:52:48.896Z,747,10,0,0,Web
1574,29139,2025-09-17T12:52:48.896Z,915,2,0,1,Web
1585,17225,2025-06-22T12:52:48.896Z,509,5,1,0,iOS
1587,36157,2026-02-05T12:52:48.896Z,261,6,1,0,Web
1592,23679,2025-11-26T12:52:48.896Z,351,2,0,0,Web
1599,34624,2025-11-14T12:52:48.896Z,64,9,0,1,Android
1600,18709,2025-09-02T12:52:48.896Z,194,6,0,0,Web
1605,23720,2025-11-04T12:52:48.896Z,91,3,1,0,iOS
1608,35414,2025-04-11T12:52:48.896Z,1199,6,0,0,Web
1616,1679,2025-08-19T12:52:48.896Z,1012,4,1,1,iOS
1637,26845,2026-01-14T12:52:48.896Z,836,1,0,0,iOS
1640,30005,2025-04-24T12:52:48.896Z,39,10,0,0,Android
1642,11291,2025-06-29T12:52:48.896Z,517,7,0,0,iOS
1658,8118,2025-08-12T12:52:48.896Z,673,8,1,0,Android
1670,13890,2025-11-28T12:52:48.896Z,522,3,0,1,iOS
1674,13231,2026-01-18T12:52:48.896Z,714,11,0,0,iOS
1686,23742,2025-10-16T12:52:48.896Z,204,6,0,0,iOS
1692,15543,2025-07-22T12:52:48.896Z,837,3,0,0,Web
1697,41376,2025-07-31T12:52:48.896Z,1104,1,0,0,iOS
1700,17050,2025-03-05T12:52:48.896Z,352,4,0,1,Web
1702,43622,2025-07-24T12:52:48.896Z,161,4,0,1,iOS
1707,37083,2025-03-03T12:52:48.896Z,927,1,0,0,Android
1710,25236,2025-08-22T12:52:48.896Z,40,3,0,0,Web
1713,2787,2025-10-11T12:52:48.896Z,626,7,0,0,Web
1720,49556,2025-03-13T12:52:48.896Z,816,3,0,0,Android
1722,26760,2025-09-26T12:52:48.896Z,38,7,0,0,iOS
1728,25807,2025-04-24T12:52:48.896Z,596,9,0,1,Android
1731,1075,2026-02-09T12:52:48.896Z,26,9,0,0,Android
1732,11163,2025-09-27T12:52:48.896Z,948,6,0,0,Web
1737,37778,2025-07-27T12:52:48.896Z,429,2,0,0,Android
1741,33844,2026-02-15T12:52:48.896Z,1031,7,0,0,Web
1754,1615,2025-10-31T12:52:48.896Z,366,3,0,0,iOS
1756,22816,2025-04-29T12:52:48.896Z,800,11,0,0,iOS
1758,38840,2025-04-03T12:52:48.896Z,818,1,1,0,Web
1775,45361,2025-05-25T12:52:48.896Z,1048,5,0,0,iOS
1783,44902,2025-12-31T12:52:48.896Z,528,4,0,0,iOS
1787,38023,2025-06-22T12:52:48.896Z,137,6,0,0,Web
1789,49604,2025-08-15T12:52:48.896Z,1067,10,0,0,iOS
1805,22145,2025-07-23T12:52:48.896Z,575,2,1,0,Web
1821,11230,2025-04-30T12:52:48.896Z,662,6,0,0,iOS
1836,29585,2025-03-28T12:52:48.896Z,522,6,1,0,Android
1842,3833,2025-07-20T12:52:48.896Z,406,1,1,0,iOS
1861,37485,2025-11-01T12:52:48.896Z,711,6,0,1,Android
1863,28509,2026-02-03T12:52:48.896Z,28,5,0,0,Web
1865,18026,2025-09-29T12:52:48.896Z,26,5,0,0,Web
1867,34146,2025-04-04T12:52:48.896Z,49,8,0,1,iOS
1885,2562,2025-04-30T12:52:48.896Z,448,7,1,0,iOS
1887,36520,2026-02-16T12:52:48.896Z,539,4,0,0,iOS
1892,5968,2025-05-25T12:52:48.896Z,807,11,0,0,iOS
1893,15257,2025-04-02T12:52:48.896Z,59,5,0,0,iOS
1903,20895,2025-12-24T12:52:48.896Z,262,2,0,0,Android
1905,5904,2025-12-18T12:52:48.896Z,1136,2,0,0,Web
1911,42744,2025-04-27T12:52:48.896Z,283,5,0,0,Android
1928,37896,2025-11-06T12:52:48.896Z,203,11,0,0,Web
1934,44882,2025-12-10T12:52:48.896Z,871,3,0,0,Android
1937,18800,2026-02-21T12:52:48.896Z,177,6,0,0,Web
1938,45574,2025-04-06T12:52:48.896Z,803,9,1,0,Web
1942,17157,2026-01-28T12:52:48.896Z,283,10,0,0,Web
1952,18788,2025-12-06T12:52:48.896Z,226,5,0,1,Android
1955,12703,2025-11-30T12:52:48.896Z,427,5,0,0,Web
1965,13832,2026-02-26T12:52:48.896Z,761,7,0,0,Android
1968,6608,2026-01-25T12:52:48.896Z,1034,6,0,0,iOS
1972,43733,2025-12-15T12:52:48.896Z,516,9,0,0,Android
1977,10229,2025-10-17T12:52:48.896Z,1040,6,0,0,Android
1990,24327,2025-09-03T12:52:48.896Z,1191,3,0,0,Web
1998,41801,2026-01-18T12:52:48.896Z,1146,10,1,0,iOS
1999,31253,2025-06-04T12:52:48.896Z,601,4,0,0,Web
2006,42243,2025-12-27T12:52:48.896Z,296,8,0,1,iOS
2019,16556,2025-08-16T12:52:48.896Z,1092,10,1,0,Web
2023,29917,2026-02-02T12:52:48.896Z,650,5,0,0,Android
2024,2521,2025-05-21T12:52:48.896Z,175,4,0,0,Android
2047,47363,2026-02-17T12:52:48.896Z,376,6,0,0,Web
2051,22762,2025-10-30T12:52:48.896Z,139,8,0,0,Android
2054,30939,2025-12-17T12:52:48.896Z,511,7,0,0,iOS
2064,17736,2025-12-24T12:52:48.896Z,116,7,1,0,Web
2091,1972,2025-05-29T12:52:48.896Z,780,5,0,0,Android
2101,4121,2025-05-17T12:52:48.896Z,862,2,0,0,iOS
2115,35239,2025-05-19T12:52:48.896Z,561,2,0,1,Android
2116,49652,2025-11-16T12:52:48.896Z,346,4,1,0,Android
2124,31872,2025-12-15T12:52:48.896Z,812,3,0,0,iOS
2132,28862,2025-12-12T12:52:48.896Z,279,4,0,0,iOS
2151,30750,2025-03-14T12:52:48.896Z,1198,2,0,0,Android
2159,40084,2026-01-20T12:52:48.896Z,142,11,0,0,Web
2166,16487,2025-12-12T12:52:48.896Z,709,5,0,0,iOS
2169,863,2025-12-20T12:52:48.896Z,1029,11,1,1,Android
2171,13264,2025-09-04T12:52:48.896Z,990,6,1,0,iOS
2176,17329,2025-07-11T12:52:48.896Z,183,1,0,1,Android
2181,45970,2025-10-28T12:52:48.896Z,854,10,0,0,Android
2182,28056,2025-10-25T12:52:48.896Z,27,4,0,0,iOS
2198,23498,2025-05-04T12:52:48.896Z,313,11,0,0,Web
2201,9035,2025-05-18T12:52:48.896Z,735,4,1,1,iOS
2203,31872,2025-07-14T12:52:48.896Z,20,6,0,0,Android
2205,3412,2025-09-02T12:52:48.896Z,237,7,0,0,Web
2206,2684,2025-05-19T12:52:48.896Z,818,4,0,0,Android
2213,47419,2025-06-13T12:52:48.896Z,621,5,0,0,Android
2214,2959,2026-01-23T12:52:48.896Z,265,5,0,0,Android
2223,8239,2026-02-08T12:52:48.896Z,528,1,0,0,Android
2225,47977,2025-05-04T12:52:48.896Z,166,1,1,1,Web
2232,26370,2025-06-08T12:52:48.896Z,371,1,1,1,Web
2249,30343,2025-05-09T12:52:48.896Z,794,2,1,0,Web
2254,26978,2026-02-06T12:52:48.896Z,969,9,0,0,Android
2259,49962,2025-11-24T12:52:48.896Z,71,8,1,0,Web
2265,20302,2025-09-17T12:52:48.896Z,723,9,0,0,iOS
2297,5378,2025-05-20T12:52:48.896Z,1144,7,0,1,iOS
2306,10422,2025-11-02T12:52:48.896Z,1183,10,0,0,Web
2307,13811,2025-12-27T12:52:48.896Z,318,4,1,0,Android
2310,29310,2025-09-20T12:52:48.896Z,408,2,1,0,Android
2312,1592,2026-01-27T12:52:48.896Z,1113,8,0,0,Web
2313,21434,2025-10-11T12:52:48.896Z,368,5,1,1,Web
2319,29394,2026-02-15T12:52:48.896Z,194,5,0,0,Web
2322,21932,2025-09-16T12:52:48.896Z,428,10,1,0,iOS
2328,11332,2025-09-18T12:52:48.896Z,504,8,0,0,Web
2337,6909,2025-10-26T12:52:48.896Z,732,7,0,1,Web
2358,45483,2025-06-23T12:52:48.896Z,1058,9,0,0,Android
2368,11202,2025-11-09T12:52:48.896Z,770,5,0,1,Android
2369,49652,2025-11-11T12:52:48.896Z,1171,11,1,1,Web
2371,19899,2026-01-05T12:52:48.896Z,534,6,0,0,iOS
2374,46830,2025-12-11T12:52:48.896Z,1069,1,0,0,iOS
2382,1313,2025-12-25T12:52:48.896Z,635,2,1,0,iOS
2385,36226,2025-07-17T12:52:48.896Z,1180,11,1,0,Web
2401,22718,2025-12-27T12:52:48.896Z,595,8,0,0,iOS
2409,22208,2025-11-25T12:52:48.896Z,1044,4,0,1,Web
2414,28443,2025-08-09T12:52:48.896Z,267,1,0,1,Android
2415,1950,2025-05-19T12:52:48.896Z,655,2,1,0,iOS
2430,36640,2025-06-15T12:52:48.896Z,439,6,1,0,Web
2434,25807,2025-05-02T12:52:48.896Z,337,5,0,1,Android
2436,22322,2025-11-11T12:52:48.896Z,600,8,0,0,Android
2443,27760,2025-09-09T12:52:48.896Z,921,7,0,1,Android
2444,47739,2025-05-21T12:52:48.896Z,1049,6,1,0,iOS
2458,45191,2025-08-05T12:52:48.896Z,1027,3,0,0,Android
2471,4709,2025-05-11T12:52:48.896Z,511,11,0,0,iOS
2474,21475,2025-03-16T12:52:48.896Z,1184,8,1,0,Android
2476,40871,2025-10-11T12:52:48.896Z,326,5,1,0,iOS
2487,35893,2025-07-08T12:52:48.896Z,733,4,0,0,iOS
2489,29671,2025-09-22T12:52:48.896Z,190,6,1,1,Web
2497,24156,2025-12-10T12:52:48.896Z,924,6,0,0,Web
2516,30028,2026-02-15T12:52:48.896Z,199,2,0,0,iOS
2518,23721,2025-12-05T12:52:48.896Z,638,7,1,0,Web
2521,10959,2025-12-04T12:52:48.896Z,907,9,0,0,Web
2525,3757,2025-11-29T12:52:48.896Z,465,5,0,0,iOS
2538,39060,2025-07-08T12:52:48.896Z,555,4,0,0,iOS
2548,49014,2025-04-11T12:52:48.896Z,84,8,0,0,Android
2561,38525,2025-08-05T12:52:48.896Z,998,8,0,0,Web
2575,37796,2025-05-06T12:52:48.896Z,1136,2,0,1,Web
2587,41885,2026-02-15T12:52:48.896Z,595,6,0,0,Android
2590,38981,2026-02-28T12:52:48.896Z,96,6,0,0,iOS
2591,10620,2026-01-05T12:52:48.896Z,585,2,0,0,Android
2592,25398,2025-08-27T12:52:48.896Z,257,6,0,0,Android
2596,5352,2025-04-20T12:52:48.896Z,1015,4,1,0,iOS
2602,45576,2025-05-10T12:52:48.896Z,570,6,0,0,Web
2606,21523,2025-03-09T12:52:48.896Z,915,11,0,0,Android
2607,5273,2026-01-28T12:52:48.896Z,994,3,1,0,iOS
2608,46299,2025-12-21T12:52:48.896Z,190,4,0,1,iOS
2611,33782,2025-05-21T12:52:48.896Z,566,4,0,1,iOS
2626,30781,2025-05-31T12:52:48.896Z,174,1,0,0,Android
2635,48683,2025-06-25T12:52:48.896Z,327,6,1,0,iOS
2655,27033,2025-10-05T12:52:48.896Z,196,10,1,0,iOS
2656,1489,2025-06-20T12:52:48.896Z,974,9,0,0,Android
2664,10305,2025-04-17T12:52:48.896Z,976,7,0,0,Web
2666,4579,2025-03-14T12:52:48.896Z,245,2,0,1,iOS
2667,42853,2025-07-30T12:52:48.896Z,872,3,0,0,Web
2671,44386,2025-05-27T12:52:48.896Z,990,1,0,0,Web
2679,37547,2026-02-14T12:52:48.896Z,1096,5,0,0,Android
