order_id,customer_id,order_timestamp,order_value,discount_amount,payment_method,promised_delivery_days,actual_delivery_days,order_status
628,6874,2025-03-17T12:52:36.629Z,3478.99,337.84,UPI,4,5,Delivered
636,46338,2025-11-27T12:52:36.629Z,3111.2,19.61,Credit Card,3,5,Delivered
650,27161,2025-05-20T12:52:36.629Z,2635.4,311.93,COD,4,4,Delivered
655,44526,2025-11-25T12:52:36.629Z,1284,354.07,Credit Card,4,6,Returned
657,19925,2025-12-15T12:52:36.629Z,1178.45,62.99,UPI,2,2,Returned
678,17794,2025-06-17T12:52:36.629Z,3227.41,35.05,COD,5,6,Returned
694,5651,2025-04-10T12:52:36.629Z,4153.12,65.81,COD,5,5,Delivered
695,33470,2026-01-08T12:52:36.629Z,210.44,382.87,UPI,4,7,Delivered
711,17398,2025-06-17T12:52:36.629Z,3516.77,58.44,COD,4,5,Delivered
712,47532,2025-10-22T12:52:36.629Z,4847.34,272.43,UPI,5,8,Delivered
725,11728,2025-05-08T12:52:36.629Z,4679.13,175.82,Credit Card,5,5,Delivered
734,11934,2025-10-24T12:52:36.629Z,4390.95,233.1,UPI,4,6,Delivered
739,3134,2025-09-18T12:52:36.629Z,1729.26,108.72,COD,4,4,Delivered
745,4472,2025-08-03T12:52:36.629Z,1715.93,442.03,Wallet,5,8,Delivered
750,42618,2025-11-12T12:52:36.629Z,4040.42,21.14,COD,3,5,Returned
760,20310,2025-05-23T12:52:36.629Z,4464.84,326.86,Wallet,4,6,Delivered
762,31554,2025-06-30T12:52:36.629Z,4017.51,425.18,UPI,2,3,Returned
780,18792,2025-08-20T12:52:36.629Z,4074.17,246.38,Credit Card,2,2,Cancelled
804,42,2025-07-12T12:52:36.629Z,357.87,66.1,Wallet,5,5,Delivered
808,11718,2025-07-13T12:52:36.629Z,1358.4,125.06,Wallet,2,4,Returned
817,40289,2025-12-28T12:52:36.629Z,619.34,271.86,Wallet,4,4,Delivered
819,39271,2025-03-23T12:52:36.629Z,1854.13,165.61,Credit Card,5,5,Cancelled
830,31352,2025-09-04T12:52:36.629Z,4184.81,313.05,Credit Card,4,4,Delivered
856,38632,2025-09-28T12:52:36.629Z,570.31,146.03,COD,5,5,Cancelled
858,12065,2025-03-14T12:52:36.629Z,293.19,454.12,COD,2,4,Delivered
894,1303,2025-12-08T12:52:36.629Z,3767.92,267.16,Credit Card,4,4,Delivered
898,16096,2025-09-27T12:52:36.629Z,1838.19,165.37,UPI,4,5,Delivered
903,47182,2025-06-03T12:52:36.629Z,420.12,274.63,Wallet,5,6,Delivered
912,27579,2026-02-21T12:52:36.629Z,4840.75,101.02,COD,3,4,Delivered
914,22740,2025-03-21T12:52:36.629Z,441.75,51.54,UPI,3,4,Delivered
917,13739,2025-05-17T12:52:36.629Z,1322.63,274.93,COD,3,3,Delivered
918,4796,2025-09-26T12:52:36.629Z,3981.58,424.36,COD,5,5,Delivered
919,29477,2025-03-19T12:52:36.629Z,2847.16,439.51,UPI,2,5,Delivered
937,11254,2025-03-22T12:52:36.629Z,4315.48,451.2,COD,5,6,Delivered
942,48269,2025-07-09T12:52:36.629Z,2094.78,320.38,COD,2,5,Delivered
958,16772,2025-12-28T12:52:36.629Z,516.51,430.84,Credit Card,3,3,Delivered
973,46513,2025-08-18T12:52:36.629Z,3114.97,120.21,UPI,3,5,Delivered
987,36666,2025-04-08T12:52:36.629Z,4436.94,347.06,Wallet,5,8,Returned
1002,45967,2026-01-20T12:52:36.629Z,1751.62,46.97,Credit Card,5,5,Delivered
1013,42205,2025-12-01T12:52:36.629Z,4059.81,80.87,COD,2,3,Delivered
1020,31507,2025-07-28T12:52:36.629Z,4593.36,31.99,Credit Card,2,2,Delivered
1066,17735,2025-07-13T12:52:36.629Z,4843.94,167.38,UPI,4,4,Returned
1082,9915,2026-02-02T12:52:36.629Z,467.88,257.44,COD,3,3,Delivered
1092,26476,2026-01-04T12:52:36.629Z,1482.81,401.93,Credit Card,4,6,Delivered
1093,23659,2025-03-21T12:52:36.629Z,1713.24,438.47,Wallet,5,5,Delivered
1098,17170,2025-07-25T12:52:36.629Z,1046.58,190.49,Wallet,4,4,Delivered
1110,918,2025-12-02T12:52:36.629Z,4886,225.95,Wallet,3,4,Returned
1119,36089,2025-05-10T12:52:36.629Z,1352.32,435.96,Wallet,3,3,Delivered
1150,20528,2026-01-10T12:52:36.629Z,204.8,245.48,COD,4,6,Delivered
1177,18198,2025-12-21T12:52:36.629Z,3150.88,120.24,Wallet,3,3,Delivered
1179,23832,2026-01-02T12:52:36.629Z,4696.23,87.94,COD,4,4,Delivered
1185,15550,2025-11-26T12:52:36.629Z,1527.33,245.67,UPI,2,2,Delivered
1203,31168,2025-12-14T12:52:36.629Z,2598.53,172.98,UPI,5,5,Delivered
1208,22583,2025-11-01T12:52:36.629Z,4652.53,54.74,Credit Card,5,5,Delivered
1222,6927,2025-12-07T12:52:36.629Z,2569.62,461.18,COD,3,5,Delivered
1228,21655,2025-05-01T12:52:36.629Z,4600.92,366.39,Wallet,2,2,Delivered
1237,3874,2025-07-10T12:52:36.629Z,2348.48,16.93,Wallet,3,4,Cancelled
1258,29326,2025-11-30T12:52:36.629Z,3673,316.22,Credit Card,2,2,Delivered
1259,9144,2026-02-26T12:52:36.629Z,2915.56,48.15,COD,5,5,Delivered
1274,17941,2026-02-17T12:52:36.629Z,812.47,58.58,Credit Card,4,4,Delivered
1277,22322,2026-02-14T12:52:36.629Z,1627.29,32.4,UPI,5,5,Delivered
1306,27842,2025-12-31T12:52:36.629Z,1813.48,259.62,UPI,4,4,Returned
1317,36442,2025-04-04T12:52:36.629Z,3529.75,254.41,COD,4,4,Delivered
1320,24690,2025-10-24T12:52:36.629Z,875.53,48.34,Wallet,5,5,Delivered
1356,46301,2025-04-19T12:52:36.629Z,1325.65,267.05,Wallet,4,5,Delivered
1373,42902,2025-05-27T12:52:36.629Z,2513.74,66.84,COD,3,6,Returned
1379,10105,2025-04-21T12:52:36.629Z,3862.32,20.55,UPI,4,5,Delivered
1380,36666,2026-02-16T12:52:36.629Z,1037.43,44.93,COD,5,5,Delivered
1390,17758,2025-09-30T12:52:36.629Z,725.49,163.79,Credit Card,3,3,Delivered
1406,33063,2025-03-12T12:52:36.629Z,2421.9,447.23,Credit Card,3,4,Cancelled
1409,13662,2025-07-18T12:52:36.629Z,3438.77,314.74,UPI,4,5,Delivered
1415,41600,2025-11-02T12:52:36.629Z,4511,289.39,COD,3,3,Returned
1426,28078,2025-10-09T12:52:36.629Z,2201.88,268.88,UPI,5,5,Delivered
1430,26905,2026-01-24T12:52:36.629Z,444.24,214.45,Credit Card,5,6,Delivered
1438,28044,2025-11-08T12:52:36.629Z,3710.54,227.18,Credit Card,4,5,Delivered
1457,10161,2025-05-27T12:52:36.629Z,3607.53,117.42,Credit Card,2,2,Delivered
1461,1215,2025-06-28T12:52:36.629Z,705.62,89.98,Credit Card,3,3,Delivered
1477,9230,2025-03-31T12:52:36.629Z,3107.34,192.55,Credit Card,4,5,Delivered
1478,26387,2025-03-28T12:52:36.629Z,630.6,218.15,Wallet,2,2,Cancelled
1545,13911,2025-07-17T12:52:36.629Z,4269.43,477.81,Wallet,3,3,Delivered
1548,29144,2025-06-25T12:52:36.629Z,675.73,487.17,COD,2,4,Delivered
1557,29143,2025-03-21T12:52:36.629Z,897.77,272.09,COD,3,3,Delivered
1560,10034,2025-11-03T12:52:36.629Z,3263,143.6,Wallet,3,4,Delivered
1568,24812,2025-08-17T12:52:36.629Z,4317,132.37,Wallet,3,3,Delivered
1573,27123,2025-07-06T12:52:36.629Z,1163.4,42.81,Wallet,3,3,Delivered
1576,37411,2025-07-26T12:52:36.629Z,2132.14,294.1,Wallet,3,5,Delivered
1578,23075,2025-03-14T12:52:36.629Z,3021.5,61.46,COD,2,3,Cancelled
1585,38398,2025-10-24T12:52:36.629Z,4157.99,338.03,UPI,3,3,Delivered
1603,18319,2025-03-03T12:52:36.629Z,3569.71,277.56,COD,2,2,Delivered
1611,37956,2026-01-28T12:52:36.629Z,3710.34,271.7,COD,4,4,Delivered
1612,10735,2025-08-25T12:52:36.629Z,1031.17,205.74,COD,2,3,Delivered
1625,45796,2026-01-06T12:52:36.629Z,1173.61,98.82,Wallet,2,2,Delivered
1630,8324,2026-02-18T12:52:36.629Z,1559.59,201.08,COD,5,6,Delivered
1661,35640,2025-12-31T12:52:36.629Z,1215.12,495.39,Credit Card,5,8,Delivered
1669,33516,2026-01-18T12:52:36.629Z,1518.38,364.27,Credit Card,2,2,Cancelled
1670,43489,2025-07-05T12:52:36.629Z,1454.45,27.4,COD,5,8,Delivered
1672,21128,2025-12-14T12:52:36.629Z,4843.68,471.88,Wallet,5,8,Delivered
1690,19775,2025-09-14T12:52:36.629Z,2819.4,244.55,Wallet,2,3,Delivered
1696,29090,2025-07-18T12:52:36.629Z,2799.14,395.69,UPI,5,6,Delivered
1699,336,2025-11-01T12:52:36.629Z,3445.52,420.38,UPI,2,3,Delivered
1703,26896,2025-03-27T12:52:36.629Z,1825.9,53.21,COD,3,4,Cancelled
1726,23824,2025-11-17T12:52:36.629Z,2804.61,485.66,Credit Card,3,3,Delivered
1734,21671,2025-04-06T12:52:36.629Z,718.05,333.12,Credit Card,3,4,Delivered
1735,38433,2025-08-04T12:52:36.629Z,2813.91,216.66,Credit Card,3,4,Delivered
1739,14670,2025-07-20T12:52:36.629Z,1735.46,486.66,Credit Card,5,5,Delivered
1755,17285,2025-03-07T12:52:36.629Z,2676.69,160.65,Wallet,5,6,Delivered
1763,48792,2025-07-10T12:52:36.629Z,1211.9,39.82,Wallet,3,3,Returned
1770,17863,2025-06-17T12:52:36.629Z,365.29,174.92,UPI,2,3,Delivered
1773,41654,2025-08-09T12:52:36.629Z,2439.07,162.98,Credit Card,4,5,Delivered
1794,9312,2025-04-28T12:52:36.629Z,1616.68,262.89,COD,4,4,Delivered
1799,5061,2026-02-02T12:52:36.629Z,4800.84,64.58,Credit Card,4,6,Delivered
1801,10801,2025-11-19T12:52:36.629Z,1974.21,260.68,COD,4,4,Delivered
1805,2970,2025-06-26T12:52:36.629Z,3437.52,32.37,Wallet,3,3,Delivered
1817,33159,2025-11-22T12:52:36.629Z,2231.02,182.31,Wallet,3,3,Delivered
1818,27130,2025-05-22T12:52:36.629Z,3218.56,346.67,COD,3,3,Delivered
1827,28209,2025-09-11T12:52:36.629Z,538.37,48.42,Credit Card,5,6,Delivered
1835,16719,2025-03-08T12:52:36.629Z,4882.87,402.3,Wallet,5,7,Delivered
1848,33918,2025-11-22T12:52:36.629Z,4081.93,222.64,UPI,2,3,Delivered
1867,6657,2026-02-15T12:52:36.629Z,3215.21,209.5,COD,4,6,Delivered
1874,21755,2025-07-10T12:52:36.629Z,4555.1,274.04,Wallet,2,3,Delivered
1885,28227,2026-02-08T12:52:36.629Z,4376.53,130.49,Wallet,5,7,Returned
1905,9235,2025-10-20T12:52:36.629Z,4149.7,217.45,Wallet,2,2,Delivered
1918,33104,2025-08-01T12:52:36.629Z,2235.2,87.58,UPI,4,6,Delivered
1920,3430,2025-04-28T12:52:36.629Z,792.42,448.84,Wallet,4,7,Delivered
1925,1507,2025-04-04T12:52:36.629Z,468.37,413.29,Wallet,5,6,Delivered
1929,11325,2025-11-09T12:52:36.629Z,3272.02,39.44,UPI,3,3,Delivered
1950,41075,2025-09-20T12:52:36.629Z,1313.17,7.26,Credit Card,4,6,Returned
1951,8677,2025-08-12T12:52:36.629Z,827.19,293.95,Credit Card,4,4,Delivered
1965,9315,2025-06-09T12:52:36.629Z,1748.55,402.24,Wallet,3,4,Delivered
1967,47138,2025-05-08T12:52:36.629Z,4449.18,356.94,UPI,5,5,Delivered
1969,18736,2025-11-28T12:52:36.629Z,1965.19,44.58,Credit Card,2,2,Delivered
1973,41678,2026-01-16T12:52:36.629Z,1062.57,12.03,UPI,3,3,Returned
1980,23260,2026-02-15T12:52:36.629Z,2629.58,87.55,Wallet,4,4,Delivered
1996,15821,2026-02-19T12:52:36.629Z,240.14,319.99,Credit Card,3,3,Delivered
1997,43716,2025-07-22T12:52:36.629Z,432.19,64.74,Credit Card,4,5,Delivered
2013,13980,2025-06-30T12:52:36.629Z,857.82,479.12,Credit Card,4,6,Cancelled
2035,199,2025-10-15T12:52:36.629Z,4271.06,9.51,UPI,3,3,Delivered
2071,24018,2025-09-20T12:52:36.629Z,3250.97,319.91,Wallet,3,6,Delivered
2113,8540,2025-05-29T12:52:36.629Z,1448.3,238.12,Credit Card,3,3,Delivered
2128,21820,2025-09-02T12:52:36.629Z,278.3,488.97,Wallet,3,4,Delivered
2146,32,2025-08-14T12:52:36.629Z,4603.31,416.96,Wallet,2,2,Delivered
2165,37778,2025-07-03T12:52:36.629Z,4492.46,493.17,UPI,2,2,Delivered
2168,1972,2025-09-23T12:52:36.629Z,4611.97,462.24,COD,5,6,Cancelled
2172,5004,2025-08-30T12:52:36.629Z,4647.53,410,Wallet,5,5,Delivered
2173,12931,2025-07-07T12:52:36.629Z,3873.66,230.64,COD,4,5,Delivered
2179,8981,2025-09-21T12:52:36.629Z,3081.08,343.12,UPI,2,2,Delivered
2183,8050,2025-03-18T12:52:36.629Z,476.66,95.56,Credit Card,2,2,Delivered
2189,35461,2025-09-01T12:52:36.629Z,1656.25,44.39,UPI,3,3,Delivered
2199,13523,2025-04-27T12:52:36.629Z,314.47,56.63,UPI,2,4,Delivered
2226,10932,2025-04-16T12:52:36.629Z,1439.93,417.93,Credit Card,2,3,Delivered
2227,42906,2026-01-20T12:52:36.629Z,1722.39,196.57,Credit Card,3,4,Delivered
2241,29158,2025-10-07T12:52:36.629Z,4511.22,349.31,UPI,2,4,Delivered
2265,6818,2025-11-18T12:52:36.629Z,2121.62,122.4,UPI,4,6,Delivered
2266,23832,2025-05-27T12:52:36.629Z,3329.46,52.17,Wallet,4,6,Delivered
2286,12820,2025-04-15T12:52:36.629Z,1775.15,232.82,Wallet,5,6,Returned
2303,29052,2025-03-22T12:52:36.629Z,4666.23,35.78,Wallet,4,4,Delivered
2317,42564,2025-12-11T12:52:36.629Z,1180.39,444.33,Credit Card,3,4,Delivered
2338,10040,2026-01-23T12:52:36.629Z,279.8,403.18,Wallet,3,5,Cancelled
2347,13104,2025-07-08T12:52:36.629Z,4820.77,390.57,Wallet,5,5,Delivered
2354,35165,2025-05-26T12:52:36.629Z,626.63,353.76,Wallet,5,5,Delivered
2356,44342,2025-04-27T12:52:36.629Z,3073.18,287.21,Wallet,4,4,Delivered
2364,8091,2025-08-13T12:52:36.629Z,2821.51,65.21,Credit Card,2,4,Delivered
2372,45339,2025-11-17T12:52:36.629Z,3877.22,50.94,Credit Card,3,3,Delivered
2376,24375,2025-12-27T12:52:36.629Z,4279.07,265.56,Wallet,5,5,Delivered
2381,15523,2025-06-26T12:52:36.629Z,4214.33,83.04,COD,3,3,Delivered
2400,13255,2025-12-14T12:52:36.629Z,2911.68,369.21,Credit Card,3,3,Delivered
2402,43837,2025-04-16T12:52:36.629Z,443.46,416.96,Credit Card,3,5,Delivered
2403,43728,2025-03-29T12:52:36.629Z,4801.19,252.85,UPI,2,3,Delivered
2405,23182,2025-06-06T12:52:36.629Z,4080.3,342.15,COD,3,3,Delivered
2408,3991,2025-11-18T12:52:36.629Z,1130.9,110.01,Wallet,4,5,Delivered
2418,7036,2025-09-09T12:52:36.629Z,2533.84,148.59,COD,5,5,Delivered
2487,36788,2025-11-11T12:52:36.629Z,4807.26,41.25,Wallet,4,5,Delivered
2488,43242,2026-01-15T12:52:36.629Z,915.85,38.91,Credit Card,2,5,Delivered
2495,23274,2025-07-25T12:52:36.629Z,791,407.35,Wallet,5,5,Delivered
2499,40558,2025-08-31T12:52:36.629Z,2491.9,336.54,Wallet,3,6,Delivered
2504,29726,2025-03-14T12:52:36.629Z,1441.82,112.46,COD,4,7,Delivered
2511,47506,2025-12-19T12:52:36.629Z,3090.24,396.98,Credit Card,4,7,Delivered
2515,35685,2025-07-10T12:52:36.629Z,282.84,80.25,Credit Card,5,6,Delivered
2534,3412,2025-07-13T12:52:36.629Z,4991.41,76.39,COD,4,4,Delivered
2545,21933,2025-09-17T12:52:36.629Z,1746.52,451.61,Wallet,3,3,Delivered
2559,24163,2025-06-21T12:52:36.629Z,1538.46,391.89,UPI,2,5,Delivered
2563,22322,2025-11-20T12:52:36.629Z,832.16,7.37,UPI,2,2,Delivered
2565,4821,2025-04-16T12:52:36.629Z,2926.04,452.81,Wallet,5,6,Delivered
2578,22103,2025-04-13T12:52:36.629Z,524.04,63.68,Wallet,3,3,Delivered
2589,48541,2025-05-23T12:52:36.629Z,1695.32,236.67,Credit Card,4,7,Delivered
2593,35525,2025-06-02T12:52:36.629Z,1747.7,222.31,Wallet,3,4,Delivered
2604,15379,2025-05-20T12:52:36.629Z,4816.06,57.66,Wallet,5,8,Delivered
2607,29579,2025-10-23T12:52:36.629Z,1825.88,481.03,Credit Card,5,7,Delivered
2617,13236,2026-01-02T12:52:36.629Z,4479.14,332.32,COD,5,8,Returned
2622,6412,2025-07-12T12:52:36.629Z,2013.97,368.3,UPI,4,4,Delivered
2632,44921,2025-09-12T12:52:36.629Z,820.59,208.28,Wallet,4,5,Delivered
2644,22876,2025-04-18T12:52:36.629Z,1238.89,183.71,UPI,5,8,Delivered
2657,15580,2025-11-09T12:52:36.629Z,2756.31,471.44,Wallet,2,3,Delivered
2661,41335,2025-06-26T12:52:36.629Z,4808.13,269.87,COD,3,4,Delivered
2662,29906,2025-09-18T12:52:36.629Z,2353.34,74.55,COD,2,3,Delivered
2688,14726,2025-09-11T12:52:36.629Z,2554.72,218.56,Credit Card,4,6,Delivered
2701,2696,2025-11-29T12:52:36.629Z,3970.1,268.02,UPI,2,2,Delivered
2727,47123,2025-10-02T12:52:36.629Z,4409.68,461.12,Credit Card,5,6,Delivered
2746,22356,2025-07-15T12:52:36.629Z,3211.66,341.45,Credit Card,4,4,Returned
2749,39557,2025-03-28T12:52:36.629Z,2487.62,386.42,COD,4,7,Delivered
2771,11776,2025-04-18T12:52:36.629Z,1152.12,167.93,COD,3,3,Delivered
2783,43972,2025-09-15T12:52:36.629Z,4677.19,153.08,Wallet,2,3,Delivered
2789,13443,2025-12-21T12:52:36.629Z,3778.26,288.37,COD,4,5,Cancelled
2794,44802,2025-08-19T12:52:36.629Z,2938.63,476.12,Credit Card,4,4,Cancelled
2805,39424,2025-03-02T12:52:36.629Z,4394.34,60.34,Wallet,5,5,Returned
2818,33448,2025-06-30T12:52:36.629Z,3067.63,310.27,Wallet,5,5,Delivered
2824,5377,2025-11-25T12:52:36.629Z,4329.26,3.13,Wallet,4,4,Delivered
2873,25583,2025-09-06T12:52:36.629Z,777.91,249.9,Credit Card,4,4,Delivered
2894,40020,2025-09-13T12:52:36.629Z,2891.38,126.32,Wallet,5,7,Delivered
2896,33472,2025-12-03T12:52:36.629Z,2673.03,77.78,COD,3,5,Cancelled
2897,4186,2025-03-09T12:52:36.629Z,4346.12,336.07,COD,3,3,Delivered
2898,45934,2025-10-30T12:52:36.629Z,1434.1,430.84,Credit Card,2,2,Delivered
2950,10502,2025-12-07T12:52:36.629Z,4606.51,176.02,COD,5,6,Delivered
2964,9779,2025-03-14T12:52:36.629Z,3647.02,257.39,Wallet,5,5,Delivered
2974,31797,2025-06-03T12:52:36.629Z,3984.63,374.1,Credit Card,4,4,Cancelled
2980,24069,2025-08-14T12:52:36.629Z,3717.09,114.35,Wallet,5,5,Delivered
2981,21055,2026-02-20T12:52:36.629Z,3524.03,242.5,Wallet,3,4,Delivered
2982,2007,2025-05-08T12:52:36.629Z,401.64,293.54,Wallet,3,3,Delivered
2984,31612,2025-05-10T12:52:36.629Z,3261.59,97.77,COD,5,5,Delivered
2986,9445,2025-07-06T12:52:36.629Z,4602.68,334.73,UPI,3,3,Returned
2995,8522,2025-04-23T12:52:36.629Z,895.39,201.89,COD,4,4,Delivered
2997,1988,2025-10-23T12:52:36.629Z,3745.82,169.37,COD,2,4,Delivered
3009,7328,2025-09-08T12:52:36.629Z,211.68,210.79,Wallet,2,4,Delivered
3010,1403,2025-03-19T12:52:36.629Z,3011.43,438.46,Credit Card,4,6,Delivered
3014,9508,2025-11-01T12:52:36.629Z,2632.74,228.97,COD,3,3,Returned
3019,24933,2026-01-25T12:52:36.629Z,936.9,95.84,Wallet,2,2,Returned
3024,25411,2026-01-17T12:52:36.629Z,4253.29,63.9,UPI,3,6,Delivered
3028,2844,2025-06-10T12:52:36.629Z,835.66,454.4,UPI,3,6,Delivered
3035,3971,2025-08-14T12:52:36.629Z,1952.64,361.63,Credit Card,4,4,Delivered
3076,26394,2025-12-27T12:52:36.629Z,1508.16,442.03,COD,3,5,Returned
3077,26235,2025-08-22T12:52:36.629Z,1298.44,284.38,Credit Card,3,6,Delivered
3078,27399,2025-04-06T12:52:36.629Z,399.21,75.91,Credit Card,3,6,Delivered
3079,18579,2025-12-17T12:52:36.629Z,3342.07,89.22,UPI,2,2,Delivered
3100,12699,2025-05-09T12:52:36.629Z,2412.7,481.15,Wallet,2,2,Delivered
3109,34108,2026-01-04T12:52:36.629Z,4278.54,491,COD,3,3,Delivered
3113,44776,2025-03-10T12:52:36.629Z,3449.87,58.32,Credit Card,2,2,Delivered
3116,35044,2026-02-06T12:52:36.629Z,224.18,456.67,Credit Card,4,4,Delivered
3122,20490,2025-06-18T12:52:36.629Z,4957.26,238.42,COD,3,3,Delivered
3127,19503,2025-04-07T12:52:36.629Z,632.54,175.18,UPI,5,5,Delivered
3128,11822,2026-01-24T12:52:36.629Z,2689.56,434,COD,2,2,Delivered
3138,18491,2026-01-31T12:52:36.629Z,4113.79,187.18,COD,2,5,Delivered
3153,9464,2026-02-24T12:52:36.629Z,1332.46,478.55,UPI,5,5,Delivered
3155,2426,2025-12-27T12:52:36.629Z,283.74,485.96,UPI,5,5,Cancelled
3165,48110,2025-04-21T12:52:36.629Z,2504.75,141.22,COD,2,3,Delivered
3180,37994,2026-02-04T12:52:36.629Z,3220.29,396.87,COD,2,4,Delivered
3198,15529,2025-07-03T12:52:36.629Z,4265.15,431.06,Credit Card,5,5,Delivered
3217,35866,2025-03-22T12:52:36.629Z,3741.57,417.65,UPI,5,5,Returned
3221,471,2025-03-19T12:52:36.629Z,2993.3,10.21,UPI,5,5,Delivered
3236,12112,2025-07-27T12:52:36.629Z,4190.17,204.48,Wallet,3,4,Delivered
3252,10692,2025-06-27T12:52:36.629Z,4096.83,11.7,UPI,5,8,Delivered
3299,20014,2025-10-22T12:52:36.629Z,2684.75,43.23,UPI,4,7,Delivered
3310,26674,2025-04-28T12:52:36.629Z,2178.52,456.54,UPI,3,5,Delivered
3330,12830,2025-10-29T12:52:36.629Z,4379.07,62.18,Wallet,4,4,Delivered
3332,40276,2025-10-16T12:52:36.629Z,3671.96,316.2,UPI,4,6,Delivered
